City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kirkwall,58.9848,-2.9587,52.97,87,75,21.85,GB,2022-06-12 00:37:11
68,Caravelas,-17.7125,-39.2481,73.35,87,27,7.58,BR,2022-06-12 00:38:45
69,Butaritari,3.0707,172.7902,82.13,75,33,12.03,KI,2022-06-12 00:38:46
70,Saskylakh,71.9167,114.0833,59.86,42,2,9.75,RU,2022-06-12 00:38:46
71,North Bend,43.4065,-124.2243,64.92,94,100,8.05,US,2022-06-12 00:38:47
72,Gravdal,68.1214,13.5031,47.57,92,100,6.02,NO,2022-06-12 00:38:47
73,Bethel,41.3712,-73.414,69.49,74,91,4.52,US,2022-06-12 00:38:47
74,Saint-Philippe,-21.3585,55.7679,63.99,82,35,12.44,RE,2022-06-12 00:38:48
75,Broome,42.2506,-75.833,64.0,75,96,1.01,US,2022-06-12 00:38:48
76,Durban,-29.8579,31.0292,60.03,81,0,4.0,ZA,2022-06-12 00:38:37
77,Torit,4.4133,32.5678,71.58,65,6,2.91,SS,2022-06-12 00:38:48
78,New Norfolk,-42.7826,147.0587,44.71,79,86,3.0,AU,2022-06-12 00:38:49
79,San Policarpo,12.1791,125.5072,83.66,74,97,6.69,PH,2022-06-12 00:38:49
80,Itoman,26.1247,127.6694,77.77,90,75,3.44,JP,2022-06-12 00:38:50
81,Henties Bay,-22.116,14.2845,64.35,56,0,1.25,NA,2022-06-12 00:38:50
82,Carnarvon,-24.8667,113.6333,71.96,63,31,11.16,AU,2022-06-12 00:38:51
83,Cockburn Town,21.4612,-71.1419,80.56,78,40,16.11,TC,2022-06-12 00:38:51
84,Winslow,35.0242,-110.6974,98.78,6,0,10.36,US,2022-06-12 00:38:51
85,Riberalta,-10.9833,-66.1,63.64,81,87,3.94,BO,2022-06-12 00:38:52
86,Santarem,-2.4431,-54.7083,77.13,94,0,4.61,BR,2022-06-12 00:38:52
